"�..NUMMER_2018","Nummer_2019","STANDORT","NORD_CHTOPO","OST_CHTOPO","ELEV_CHTOPO","STATUS","ZUSTAENDIG","FOTO","BEFESTIGUNG","BEBAUUNG","VEGETATION","Notizen"
"1",16,"Bubenbergplatz","46.94729","7.43849","542.5",1,"BERNMOBIL","ja","Masten","Tramlinie, Hauptstrasse","",""
"2",86,"Ostermundigen, Lötschenstr 13","46.95289","7.48707","551.5",1,"Gemeinde Ostermundigen","ja","Strassenlampe","Strasse, Einfamilienhäuser","Gärten",""
"4",82,"Thunplatz","46.94065","7.45822","551.6",1,"BERNMOBIL","ja","Tramampel","versiegelter Platz, Tramlinie, Kreisel","",""
"6",33,"Dählhölzli-Wald *****","46.93798","7.45656","535.2",1,"Burgergemeinde","ja","Baum (Fichte)","","Mischwald, Fichte + Buche",""
"9",71,"Hirschengraben","46.94658","7.43786","540.3",2,"EWB","Lichtmasten","Laternenpfosten (zwischen Sitzbänken)","Kiesplatz, Strasse, Sandsteingebäude","Baumallee (Platanen)",""
"10",42,"Gerechtigkeitsgasse 55","46.94813","7.45351","532",1,"TBA","ja","Verkehrsschild","Pflastersteinstrasse, Sandsteingebäude, Altstadt","",""
"12",68,"Gleisfeld Welle","46.94832","7.43365","540.1",1,"SBB","ja","Lichtmasten","Gleise, Schotter","",""
"13",13,"Egelsee","46.94471","7.46442","549.2",4,"??? (egal)","ja","Lampe","See (Tümpel), Naturweg","",""
"14",14,"Helvetiaplatz","46.94381","7.44885","530.8",4,"TBA","ja","Verkehrsschild","Strasse, Pflastersteinplatz, Brunnen","",""
"15",70,"Bundesplatz","46.94692","7.44354","542.6",1,"TBA","ja","Verkehrsschild","Strasse, Bundeshaus, Wasserspiel","",""
"17",17,"Rosengarten","46.95189","7.46019","568.4",4,"Stadtgrün","ja","Laterne","Kiesplatz","Hecken, Grasfläche, einzelne Bäume",""
"18",52,"Umland Bümpliz","46.93362","7.36586","574.3",1,"EWB","ja","Stromleitungsmasten EWB40","","Feld",""
"19",19,"Galgenfeld Neubausiedlung","46.95065","7.46992","579.1",4,"EWB","ja","Strassenlampe ??","Strasse, Blöcke","Gärten",""
"20",26,"Inselspital","46.94719","7.42567","543.7",1,"BERNMOBIL","ja","Strassenlampe","Hochhäuser, Betonplatz, Strasse","",""
"21",21,"Gaswerkareal Industrie EWB","46.9395","7.44213","503.1",4,"??? (EWB","","","","",""
"22",22,"Matte Mühleplatz","46.94687","7.4562","499.6",4,"TBA","ja","Verkehrsschild","Parkplatz, Sandsteingebäude","",""
"23",10,"Länggasse, Neufeldstrasse 135","46.95791","7.4354","558.6",1,"EWB","ja","Strassenlampe","Asphaltweg, Kiesfeld(3x3m)","Rasen",""
"25",20,"Umland Köniz *****","46.90339","7.39462","656.7",1,"BKW","ja","BKW Masten 9 auf ca 2m80","","Wiese, Feld",""
"26",58,"Murifeld (vor Wohnturm 3)","46.93919","7.48007","553.1",1,"EWB","ja","Lampe","Asphaltweg, Hochhäuser","Einzelne Bäume, grosse Rasenfläche",""
"27",30,"Galgenfeld Industrie","46.95555","7.47194","563.7",1,"EWB","ja","Strassenlampe","Strasse, Industrie (Recycling Blech)","",""
"28",46,"Autobahnausfahrt Wankdorf","46.96717","7.46968","547.6",1,"EWB","ja","Masten","Strasse, Brücke, Autobahn, Viel Verkehr","",""
"31",1,"VonRoll PH","46.95292","7.42253","553.8",1,"Uni Bern (VonRoll) & EWB","ja","Lichtmasten","Betonierter Platz, Gebäude","",""
"32",80,"Elfenau Kreuzung Hofmeister- Matterstrasse (Wegli)","46.9356","7.46954","544.6",1,"EWB","ja","Strassenlampe","Asphaltweg, Mehrfamilienhäuser","Links und rechts Gärten",""
"33",59,"Schlossmatte Familiengärten","46.94211","7.41689","548.4",1,"Stadtgrün","ja","Fahnenmasten","Schrebergärten, Kiesweg, Gartenhäuser","Gärten",""
"34",2,"Europaplatz","46.94333","7.40633","555.5",1,"BERNMOBIL","ja","Masten","Strasse, betonierter Platz, Brücke, Verkehr","",""
"35",6,"Bümpliz Fröschmattstrasse","46.9402","7.38371","561.9",1,"EWB","ja","Strassenlampe","Strasse, Mehrfamilienhäuser","Garten",""
"36",38,"Spiegel","46.92607","7.43739","619.8",1,"Gemeinde Köniz","ja","Strassenlampe","Strasse, Einfamilienhäuser, Teich","Garten",""
"37",37,"Lorraine, Steckweg 15","46.95896","7.44514","538.1",4,"EWB","ja","Strassenlampe","zwei Blöcke","Garten",""
"38",32,"Bremgartenwald *****","46.95739","7.42128","552.3",1,"Burgergemeinde","ja","Baum","","Wald",""
"39",53,"Breitenrain, Waffenweg","46.96174","7.45191","554.9",1,"TBA","ja","Verkehrsschild 2m85","Kreuzung","Garten",""
"40",34,"Kasernenareal","46.95696","7.45802","559.3",1,"Kasernenareal","ja","Strassenlampe","Sandsteingebäude~30m","Rasen, Parkanliegend",""
"41",41,"Monbijou-Park","46.94187","7.43462","521.4",4,"Stadtgrün","ja","Lampe","Betonweg","Rasenplatz, Bäume",""
"42",36,"Viktoriarain","46.95519","7.44772","542.8",1,"TBA","ja","Verkehrsschild 30, auf ca 2m75","","",""
"44",25,"Köniz Neubausiedlung","46.92781","7.42031","567.2",1,"Gemeinde Köniz","ja","Lampe","Asphaltweg, weisse Blockgebäude","Wiese",""
"45",45,"Zytglogge","46.94828","7.44741","539.5",4,"BERNMOBIL","ja","Fahrplananzeigemasten","betonierter Platz, Strasse, Altstadt","",""
"47",8,"Wankdorf ESP","46.968","7.46248","550.5",1,"EWB","ja","Strassenlampe","Betonierter Platz, Blockgebäude (20m)","Bäume",""
"48",48,"Viererfeld","46.9651","7.43821","573.1",1,"Sportplatz Viererfeld","ja","Scheinwerfermasten","Schrebergärten","Fussballfeld, Acker",""
"49",18,"Aegertenstrasse 53","46.93861","7.44738","519.7",1,"TBA","ja","Verkehrsschild","Mehrfamilienhäuser, Strasse mit Trottoir","Gärten",""
"51",73,"Obstberg, Wattenwylweg 32","46.94714","7.46407","561.6",1,"EWB","ja","Strassenlampe","Strasse, Einfamilienhäuser (gross),","Gärten",""
"52",63,"Wylergut, Jaunweg 11","46.96766","7.44922","526.8",1,"EWB","ja","Strassenlampe","Reihenfamilienhäuser, Strasse","Garten",""
"53",69,"Eisenbahnquartier","46.93719","7.42312","560.6",1,"EWB","ja","Strassenlampe","Strasse, Trottoir, Reihenfamilienhäuser","Garten",""
"55",55,"Bollwerk (Strasseninsel)","46.95152","7.44077","534.6",4,"TBA","ja","Ampel","Haupstrasse, gesammte Fläche versiegelt","",""
"60",41,"Bümpliz Stöckacker","46.94302","7.39587","556.7",1,"EWB","ja","Laterne","2x Hochhaus, Park, Sportplatz","Rasen, Busch",""
"62",62,"Felsenhaldenweg","46.974","7.44116","492.4",4,"EWB","ja","Strassenlampe","Strasse, Einfamilienhäuser","Garten",""
"63",31,"Köniz Aussenquartier","46.92041","7.40995","577.2",1,"Gemeinde Köniz","ja","Strassenlampe","Blöcke, Trottoir, Strasse","",""
"65",57,"Eigerplatz","46.94077","7.43133","525.7",1,"BERNMOBIL","ja","Masten","Hauptstrasse, betonierter Platz","",""
"67",39,"Weyermannshaus Industrie","46.9489","7.40134","545.9",1,"EWB","ja","Strassenlampe","Strasse, Industriegebäude, Parkplätze","Vereinzelte Bäume","Schauen, dass wir gegen hinten richten wegen der Einfahrt, vorne seitlich nicht gut"
"68",4,"Uettligen Umland","46.98041","7.38733","590.2",1,"BKW","ja, neues Foto","Stromleitungsmasten, auf Hügel","Kiesweg","Busch, Wiese,Feld",""
"69",61,"Westside Center","46.94555","7.37478","554.2",1,"EWB","ja","Parklaterne","Betonierter Platz, Blockgebäude (Center)","Blumenbeet",""
"70",23,"Ostermundigen, Ahornstr 16","46.95575","7.49872","574.3",1,"Gemeinde Ostermundigen","ja","Strassenlampe","Strasse, Trottoir, Blöcke","Rasenfläche, einzelne Bäume",""
"71",65,"Umland Bolligen","46.96682","7.50376","557.6",1,"BKW","ja","Stromleitungsmasten BKW FMB94","","Wiese, Feld",""
"73",9,"Bremgartenfriedhof","46.95029","7.42015","552.4",1,"Stadtgrün","ja","Laterne","Parkanlage","Baumalee, Rasen",""
"76",76,"Wabern, Viktoriastrasse 9","46.93122","7.45326","533.5",4,"Gemeinde Köniz","ja","Strassenlampe (Gmd Köniz 119)","Einfamilienhäuser, Strasse","Gärten (einer mit Tümpel)",""
"78",78,"Dalmazibrücke","46.94446","7.44571","500.8",4,"EWB &TBA","ja","Strassenlampe","Betonbrücke über der Aare","",""
"79",79,"Umland Belp","46.89942","7.51182","513.1",4,"Energie Belp","ja","Stromleitungsmasten EVB52","","Feld","Koordinaten prüfen"
"80",60,"Roschistrasse","46.93508","7.43887","532.6",1,"EWB","ja","Strassenlampe","5-Stöckige Blöcke, Strasse mit Trottoir","",""
"83",83,"Stadtlabor","46.96312","7.46255","554.5",4,"AFU","nein","Holzpflock","Teerboden, Schulhaus, Stadion","Rasen",""
"86",102,"Vorderes LG-Quartier, Falkenweg 5","46.9517","7.43714","561.6",1,"EWB","ja","Strassenlampe","Strasse, Mehrfamilienhäuser","Hecke, Garten",""
"87",87,"Engehalde Stauwehr","46.96547","7.44504","494.5",4,"EWB","ja","Wehr, am Übergang","","",""
"98",98,"Zollikofen Referenz 2m","46.9908","7.46403","552.8",4,"MeteoSchweiz","ja","Metallstange","","",""
